date,open,high,low,close,adj_close,volume
2023-08-22,92.639999,93.279999,92.459999,93.230003,90.554962,21323100
2023-08-23,94.300003,95.550003,94.230003,95.540001,92.798683,38294700
2023-08-24,95.129997,95.550003,94.889999,94.910004,92.186768,22300800
2023-08-25,94.660004,95.510002,94.510002,95.220001,92.487862,23865200
2023-08-28,95.650002,95.660004,94.889999,95.32,92.584991,16037300
2023-08-29,94.970001,96.510002,94.940002,96.309998,93.546585,28478100
2023-08-30,96.160004,96.400002,95.879997,96.209999,93.449455,17550100
2023-08-31,96.540001,97.050003,96.43,96.639999,93.867126,26959700
2023-09-01,95.800003,95.82,94.620003,94.849998,92.404808,32466900
2023-09-05,94.279999,94.290001,93.489998,93.519997,91.109093,29435900
2023-09-06,94.089996,94.110001,93.459999,93.75,91.333183,23636300
2023-09-07,94,94.07,93.68,94.010002,91.586479,18091500
2023-09-08,94.379997,94.900002,94.169998,94.370003,91.937187,17052100
2023-09-11,93.699997,93.980003,93.550003,93.690002,91.274719,17061500
2023-09-12,93.889999,94.239998,93.580002,94.230003,91.800797,20034300
2023-09-13,93.919998,94.529999,93.82,94.209999,91.781319,23332300
2023-09-14,93.940002,94.209999,93.400002,93.529999,91.118851,27800600
2023-09-15,93.459999,93.480003,92.959999,92.959999,90.563538,25636800
2023-09-18,92.849998,93.529999,92.82,93.489998,91.079872,17963400
2023-09-19,93.080002,93.43,92.800003,92.800003,90.407669,24941800
2023-09-20,93.290001,93.599998,93.040001,93.089996,90.690193,29451200
2023-09-21,91.290001,91.370003,90.690002,90.699997,88.361809,59920500
2023-09-22,90.809998,91.610001,90.669998,91.43,89.072975,29524500
2023-09-25,89.660004,90.040001,89.150002,89.18,86.880989,45587900
2023-09-26,89.43,89.620003,88.709999,88.870003,86.578987,38104100
2023-09-27,89.540001,89.620003,88.089996,88.410004,86.130836,47111200
2023-09-28,87.620003,88.730003,87.099998,88.68,86.393875,60238000
2023-09-29,89.269997,89.489998,88.129997,88.690002,86.403618,48989800
2023-10-02,87.82,87.93,86.709999,86.93,84.957207,44704300
2023-10-03,86.309998,86.650002,84.889999,85.059998,83.129639,71362600
2023-10-04,85.769997,86.309998,85.370003,86.260002,84.302422,56281600
2023-10-05,86.110001,86.190002,85.639999,85.830002,83.882172,35758800
2023-10-06,84.199997,85.690002,84.059998,84.790001,82.865776,62772200
2023-10-09,85.5,86.800003,84.949997,86.779999,84.810608,29424900
2023-10-10,85.849998,87.169998,85.519997,86.660004,84.693329,54743900
2023-10-11,87.849998,88.470001,87.599998,88.470001,86.462265,58517700
2023-10-12,88.050003,88.190002,85.93,86.07,84.116714,66986700
2023-10-13,87.599998,87.830002,87.169998,87.610001,85.621773,44183800
2023-10-16,86.190002,86.370003,85.900002,86.199997,84.243774,38309800
2023-10-17,84.889999,85.629997,84.5,85.25,83.315331,52949100
2023-10-18,84.379997,84.720001,83.849998,84.5,82.582359,63724600
2023-10-19,83.879997,84.57,82.739998,82.769997,80.891617,87696900
2023-10-20,82.989998,83.540001,82.769997,83.239998,81.350937,52162600
2023-10-23,82.809998,84.860001,82.419998,84.239998,82.328255,70890400
2023-10-24,84.440002,85.349998,84.089996,85.349998,83.413055,46267700
2023-10-25,84.019997,84.129997,83.129997,83.449997,81.556183,60737200
2023-10-26,83.480003,84.82,83.400002,84.730003,82.807137,49704100
2023-10-27,84.190002,84.970001,83.739998,84.370003,82.455315,32362300
2023-10-30,83.809998,84.5,83.239998,83.989998,82.083923,45026900
2023-10-31,84.370003,84.769997,83.550003,83.580002,81.683228,37269200
2023-11-01,84.040001,85.120003,84.019997,85.099998,83.454308,72308500
2023-11-02,86.68,87.309998,86.220001,87.040001,85.356789,69739400
2023-11-03,88.809998,89.050003,87.580002,87.629997,85.935371,77668500
2023-11-06,87.07,87.199997,86.599998,86.779999,85.101807,41341900
2023-11-07,87.610001,88.5,87.589996,88.059998,86.357056,37834200
2023-11-08,88.480003,89.620003,88.449997,89.559998,87.828049,53893400
2023-11-09,88.940002,89.029999,86.739998,87.5,85.807892,88975100
2023-11-10,88.230003,88.43,87.769997,87.989998,86.288422,36516400
2023-11-13,87.220001,87.940002,86.900002,87.790001,86.092285,25661500
2023-11-14,90,90.150002,89.290001,89.779999,88.0438,65666800
2023-11-15,89.010002,89.139999,88.309998,88.519997,86.808167,56205300
2023-11-16,89.300003,89.959999,89.25,89.620003,87.886894,49473900
2023-11-17,90.160004,90.43,89.639999,90.040001,88.29879,44091400
2023-11-20,89.620003,90.660004,89.610001,90.589996,88.838127,40477800
2023-11-21,90.5,90.800003,89.889999,90.550003,88.798912,27721000
2023-11-22,91.120003,91.32,90.379997,90.870003,89.112717,31197500
2023-11-24,90.099998,90.260002,89.790001,89.800003,88.063416,20199600
2023-11-27,90.300003,91.339996,90.209999,91.300003,89.534409,39804400
2023-11-28,90.910004,91.529999,90.790001,91.480003,89.710922,44989300
2023-11-29,92.110001,92.699997,91.779999,92.629997,90.838684,61647800
2023-11-30,91.970001,92.290001,91.160004,91.559998,89.789383,60520900
2023-12-01,91.309998,93.059998,91.129997,92.989998,91.480476,64141700
2023-12-04,92.489998,92.830002,92.089996,92.620003,91.116493,33766300
2023-12-05,93.629997,94.620003,93.57,94.610001,93.074181,73588600
2023-12-06,95.080002,96.050003,94.870003,95.870003,94.313721,61606100
2023-12-07,95.18,96.080002,95.059998,95.32,93.772652,47970200
2023-12-08,94.419998,94.720001,93.910004,94.540001,93.00531,44800500
2023-12-11,94.010002,94.440002,93.529999,94.339996,92.808556,33909700
2023-12-12,94.150002,94.699997,93.900002,94.620003,93.084023,36996900
2023-12-13,95.169998,96.980003,95.019997,96.839996,95.267967,70828500
2023-12-14,97.660004,99.040001,97.419998,99.040001,97.746185,87798600
2023-12-15,98.690002,99.349998,98.580002,99.150002,97.854744,59919700
2023-12-18,98.5,98.5,98.019997,98.360001,97.075066,34746000
2023-12-19,98.860001,99.260002,98.660004,98.889999,97.598137,30018400
2023-12-20,99.110001,99.690002,98.580002,99.559998,98.259377,51229400
2023-12-21,99.739998,99.839996,98.75,98.93,97.637611,65231200
2023-12-22,99.379997,99.379997,98.239998,98.480003,97.193489,29237200
2023-12-26,98.540001,98.870003,98.480003,98.760002,97.469841,24019700
2023-12-27,99.779999,100.529999,99.5,100.510002,99.196968,45082800
2023-12-28,100.089996,100.57,99.559998,99.779999,98.476509,36213000
2023-12-29,99.129997,99.82,98.800003,98.879997,97.588264,41601700
