date,open,high,low,close,adj_close,volume
2023-03-31,49.709999,50.369999,48.75,49,48.143688,62092193
2023-04-03,48.709999,50.5,48.5,49.880001,49.008308,52970436
2023-04-04,49.880001,51.599998,49.799999,50.66,49.774677,61779441
2023-04-06,50.389999,51.66,49.779999,50.18,49.303066,38108651
2023-04-07,50,50.450001,49.380001,49.43,48.566174,22977509
2023-04-10,49.43,49.939999,49.040001,49.380001,48.517048,20693987
2023-04-11,49.450001,49.560001,48.830002,49.099998,48.241936,24755259
2023-04-12,49.150002,49.259998,48.389999,48.639999,47.789978,23609521
2023-04-13,48.459999,48.84,48.23,48.450001,47.603298,18799959
2023-04-14,48.669998,48.700001,48,48.259998,47.416618,20717972
2023-04-17,48.27,48.68,48.02,48.68,47.829281,24518448
2023-04-18,48.669998,48.900002,48.279999,48.48,47.632774,24874176
2023-04-19,48.470001,48.799999,48.080002,48.259998,47.416618,29274199
2023-04-20,48.259998,48.540001,47.759998,48.200001,47.35767,22347663
2023-04-21,48.299999,48.389999,47.709999,47.77,46.935181,22571822
2023-04-24,47.77,47.880001,47.009998,47.32,46.493046,25118165
2023-04-25,47.200001,47.740002,47.099998,47.740002,46.905708,19094231
2023-04-26,47.689999,47.82,47.299999,47.5,46.669899,16088897
2023-04-27,47.450001,47.68,47.130001,47.669998,46.836929,14572229
2023-04-28,48.5,48.599998,47.610001,47.869999,47.033432,22587894
2023-05-04,47.73,47.73,46.970001,47.09,46.267067,23357777
2023-05-05,47.049999,47.25,46.240002,47.150002,46.326019,26355140
2023-05-08,47.099998,47.099998,46.560001,46.599998,45.785625,19384294
2023-05-09,46.580002,47.18,46.200001,46.91,46.09021,17513838
2023-05-10,46.900002,46.900002,46.259998,46.5,45.687378,11982984
2023-05-11,46.490002,46.900002,46.299999,46.849998,46.031258,10089169
2023-05-12,46.799999,47.25,46.619999,46.709999,45.893703,11386094
2023-05-15,46.52,46.599998,45.830002,46.189999,45.382793,21447415
2023-05-16,46.200001,46.450001,46.009998,46.049999,45.245239,11695354
2023-05-17,46,46.200001,45.790001,45.790001,44.989784,14475712
2023-05-18,45.790001,45.849998,42.889999,42.990002,42.238716,65911445
